"Date","Weekly amounts outstanding of Central Bank sterling loan to Asset Purchase Facility total (in sterling millions) not seasonally adjusted                          RPWZ4TM"
"30 Dec 20","744937"
"23 Dec 20","744937"
"16 Dec 20","743880"
"09 Dec 20","739461"
"02 Dec 20","735042"
"25 Nov 20","730624"
"18 Nov 20","726205"
"11 Nov 20","721786"
"04 Nov 20","718840"
"28 Oct 20","717367"
"21 Oct 20","714421"
"14 Oct 20","712948"
"07 Oct 20","710002"
"30 Sep 20","708247"
"23 Sep 20","703269"
"16 Sep 20","697143"
"09 Sep 20","693581"
"02 Sep 20","687555"
"26 Aug 20","684467"
"19 Aug 20","679890"
"12 Aug 20","675311"
"05 Aug 20","668762"
"29 Jul 20","661637"
"22 Jul 20","654606"
"15 Jul 20","647292"
"08 Jul 20","640115"
"01 Jul 20","632994"
"24 Jun 20","625607"
"17 Jun 20","612756"
"10 Jun 20","598707"
"03 Jun 20","584745"
"27 May 20","571035"
"20 May 20","557018"
"13 May 20","542664"
"06 May 20","528507"
"29 Apr 20","514491"
"22 Apr 20","500169"
"15 Apr 20","486190"
"08 Apr 20","471995"
"01 Apr 20","458496"
"25 Mar 20","447996"
"18 Mar 20","444997"
"11 Mar 20","444997"
"04 Mar 20","444997"
"26 Feb 20","444997"
"19 Feb 20","444997"
"12 Feb 20","444997"
"05 Feb 20","444997"
"29 Jan 20","444997"
"22 Jan 20","444997"
"15 Jan 20","444997"
"08 Jan 20","444997"
"01 Jan 20","444997"
"25 Dec 19","444997"
"18 Dec 19","444997"
"11 Dec 19","444997"
"04 Dec 19","444997"
"27 Nov 19","444997"
"20 Nov 19","444997"
"13 Nov 19","444997"
"06 Nov 19","444997"
"30 Oct 19","444997"
"23 Oct 19","444997"
"16 Oct 19","444997"
"09 Oct 19","444997"
"02 Oct 19","444997"
"25 Sep 19","444997"
"18 Sep 19","444997"
"11 Sep 19","444997"
"04 Sep 19","444997"
"28 Aug 19","444997"
"21 Aug 19","444997"
"14 Aug 19","444997"
"07 Aug 19","444997"
"31 Jul 19","444997"
"24 Jul 19","444997"
"17 Jul 19","444997"
"10 Jul 19","444997"
"03 Jul 19","444997"
"26 Jun 19","444997"
"19 Jun 19","444997"
"12 Jun 19","444997"
"05 Jun 19","444997"
"29 May 19","444997"
"22 May 19","444997"
"15 May 19","444997"
"08 May 19","444997"
"01 May 19","444997"
"24 Apr 19","444997"
"17 Apr 19","444997"
"10 Apr 19","444997"
"03 Apr 19","444997"
"27 Mar 19","444997"
"20 Mar 19","444997"
"13 Mar 19","444997"
"06 Mar 19","444997"
"27 Feb 19","444997"
"20 Feb 19","444997"
"13 Feb 19","444997"
"06 Feb 19","444997"
"30 Jan 19","444997"
"23 Jan 19","444997"
"16 Jan 19","566438"
"09 Jan 19","566439"
"02 Jan 19","566439"
"26 Dec 18","566439"
"19 Dec 18","566439"
"12 Dec 18","566439"
"05 Dec 18","566439"
"28 Nov 18","566444"
"21 Nov 18","566444"
"14 Nov 18","566444"
"07 Nov 18","571444"
"31 Oct 18","571444"
"24 Oct 18","571444"
"17 Oct 18","571444"
"10 Oct 18","571444"
"03 Oct 18","571444"
"26 Sep 18","571444"
"19 Sep 18","571444"
"12 Sep 18","571454"
"05 Sep 18","571454"
"29 Aug 18","571454"
"22 Aug 18","571454"
"15 Aug 18","571457"
"08 Aug 18","571457"
"01 Aug 18","571457"
"25 Jul 18","571457"
"18 Jul 18","571457"
"11 Jul 18","571457"
"04 Jul 18","571457"
"27 Jun 18","571457"
"20 Jun 18","571607"
"13 Jun 18","571607"
"06 Jun 18","571607"
"30 May 18","571607"
"23 May 18","571607"
"16 May 18","571607"
"09 May 18","571607"
"02 May 18","571607"
"25 Apr 18","572007"
"18 Apr 18","572007"
"11 Apr 18","572012"
"04 Apr 18","572012"
"28 Mar 18","572012"
"21 Mar 18","572012"
"14 Mar 18","572012"
"07 Mar 18","572012"
"28 Feb 18","572012"
"21 Feb 18","560417"
"14 Feb 18","557402"
"07 Feb 18","552966"
"31 Jan 18","551864"
"24 Jan 18","551009"
"17 Jan 18","548276"
"10 Jan 18","548066"
"03 Jan 18","547944"
"27 Dec 17","547819"
"20 Dec 17","547539"
"13 Dec 17","545251"
"06 Dec 17","538399"
"29 Nov 17","537583"
"22 Nov 17","536398"
"15 Nov 17","535560"
"08 Nov 17","535115"
"01 Nov 17","534915"
"25 Oct 17","534353"
"18 Oct 17","532537"
"11 Oct 17","532292"
"04 Oct 17","530041"
"27 Sep 17","529542"
"20 Sep 17","529324"
"13 Sep 17","527624"
"06 Sep 17","527444"
"30 Aug 17","527852"
"23 Aug 17","527740"
"16 Aug 17","525375"
"09 Aug 17","524636"
"02 Aug 17","524589"
"26 Jul 17","523315"
"19 Jul 17","520661"
"12 Jul 17","520486"
"05 Jul 17","520461"
"28 Jun 17","514256"
"21 Jun 17","513661"
"14 Jun 17","510195"
"07 Jun 17","510023"
"31 May 17","508298"
"24 May 17","508034"
"17 May 17","505174"
"10 May 17","503704"
"03 May 17","502891"
"26 Apr 17","502500"
"19 Apr 17","500319"
"12 Apr 17","500009"
"05 Apr 17","499252"
"29 Mar 17","497306"
"22 Mar 17","490774"
"15 Mar 17","488354"
"08 Mar 17","486891"
"01 Mar 17","485633"
"22 Feb 17","484362"
"15 Feb 17","480541"
"08 Feb 17","479615"
"01 Feb 17","474013"
"25 Jan 17","468037"
"18 Jan 17","464152"
"11 Jan 17","455451"
"04 Jan 17","449082"
"28 Dec 16","448575"
"21 Dec 16","448425"
"14 Dec 16","436505"
"07 Dec 16","431134"
"30 Nov 16","425741"
"23 Nov 16","418783"
"16 Nov 16","415204"
"09 Nov 16","411488"
"02 Nov 16","408690"
"26 Oct 16","406998"
"19 Oct 16","404703"
"12 Oct 16","402126"
"05 Oct 16","398723"
"28 Sep 16","396336"
"21 Sep 16","394426"
"14 Sep 16","392566"
"07 Sep 16","390157"
"31 Aug 16","386647"
"24 Aug 16","384307"
"17 Aug 16","380798"
"10 Aug 16","377288"
"03 Aug 16","375000"
"27 Jul 16","375000"
"20 Jul 16","375000"
"13 Jul 16","375000"
"06 Jul 16","375000"
"29 Jun 16","375000"
"22 Jun 16","375000"
"15 Jun 16","375000"
"08 Jun 16","375000"
"01 Jun 16","375000"
"25 May 16","375000"
"18 May 16","375000"
"11 May 16","375000"
"04 May 16","375000"
"27 Apr 16","375000"
"20 Apr 16","375000"
"13 Apr 16","375000"
"06 Apr 16","375000"
"30 Mar 16","375000"
