"Title","Households (S.14): Households' saving ratio (per cent): Current price: £m: SA"
"CDID","DGD8"
"Source dataset ID","UKEA"
"PreUnit",""
"Unit",""
"Release date","31-03-2026"
"Next release","30 June 2026"
"Important notes",
"1963","4.9"
"1964","5.9"
"1965","6.2"
"1966","6.5"
"1967","5.8"
"1968","5.2"
"1969","5.2"
"1970","6.1"
"1971","4.7"
"1972","7.0"
"1973","7.8"
"1974","8.1"
"1975","8.9"
"1976","8.8"
"1977","7.9"
"1978","9.5"
"1979","11.0"
"1980","12.5"
"1981","12.7"
"1982","12.0"
"1983","10.6"
"1984","11.9"
"1985","11.4"
"1986","10.5"
"1987","8.1"
"1988","6.5"
"1989","8.0"
"1990","9.8"
"1991","12.2"
"1992","13.6"
"1993","13.1"
"1994","10.9"
"1995","12.2"
"1996","11.2"
"1997","9.4"
"1998","6.4"
"1999","5.1"
"2000","7.1"
"2001","7.0"
"2002","6.5"
"2003","5.4"
"2004","5.8"
"2005","5.8"
"2006","6.4"
"2007","7.7"
"2008","7.4"
"2009","10.7"
"2010","11.1"
"2011","9.1"
"2012","8.3"
"2013","8.1"
"2014","7.3"
"2015","9.7"
"2016","6.3"
"2017","5.2"
"2018","5.4"
"2019","5.8"
"2020","16.6"
"2021","12.7"
"2022","5.4"
"2023","6.2"
"2024","9.8"
"2025","9.7"
"1963 Q1","4.9"
"1963 Q2","3.3"
"1963 Q3","5.5"
"1963 Q4","6.2"
"1964 Q1","5.7"
"1964 Q2","5.7"
"1964 Q3","6.3"
"1964 Q4","5.9"
"1965 Q1","5.7"
"1965 Q2","5.9"
"1965 Q3","6.4"
"1965 Q4","7.0"
"1966 Q1","8.9"
"1966 Q2","4.8"
"1966 Q3","5.7"
"1966 Q4","6.5"
"1967 Q1","5.4"
"1967 Q2","6.3"
"1967 Q3","6.6"
"1967 Q4","5.3"
"1968 Q1","4.1"
"1968 Q2","7.5"
"1968 Q3","4.5"
"1968 Q4","4.6"
"1969 Q1","5.6"
"1969 Q2","5.7"
"1969 Q3","5.1"
"1969 Q4","4.7"
"1970 Q1","4.8"
"1970 Q2","7.0"
"1970 Q3","6.1"
"1970 Q4","6.6"
"1971 Q1","4.2"
"1971 Q2","5.4"
"1971 Q3","4.6"
"1971 Q4","5.1"
"1972 Q1","5.4"
"1972 Q2","9.1"
"1972 Q3","6.5"
"1972 Q4","7.3"
"1973 Q1","5.7"
"1973 Q2","8.2"
"1973 Q3","8.0"
"1973 Q4","9.6"
"1974 Q1","8.6"
"1974 Q2","6.8"
"1974 Q3","8.4"
"1974 Q4","9.3"
"1975 Q1","10.1"
"1975 Q2","7.5"
"1975 Q3","9.4"
"1975 Q4","9.0"
"1976 Q1","9.5"
"1976 Q2","8.0"
"1976 Q3","10.1"
"1976 Q4","7.9"
"1977 Q1","7.3"
"1977 Q2","6.9"
"1977 Q3","7.7"
"1977 Q4","9.9"
"1978 Q1","7.4"
"1978 Q2","9.9"
"1978 Q3","9.8"
"1978 Q4","11.1"
"1979 Q1","11.1"
"1979 Q2","7.7"
"1979 Q3","11.1"
"1979 Q4","14.2"
"1980 Q1","10.2"
"1980 Q2","12.6"
"1980 Q3","13.3"
"1980 Q4","14.1"
"1981 Q1","13.5"
"1981 Q2","12.5"
"1981 Q3","12.1"
"1981 Q4","12.8"
"1982 Q1","12.6"
"1982 Q2","13.2"
"1982 Q3","11.5"
"1982 Q4","10.9"
"1983 Q1","9.9"
"1983 Q2","11.9"
"1983 Q3","9.8"
"1983 Q4","10.9"
"1984 Q1","11.6"
"1984 Q2","10.0"
"1984 Q3","12.7"
"1984 Q4","13.6"
"1985 Q1","12.1"
"1985 Q2","12.3"
"1985 Q3","10.8"
"1985 Q4","10.7"
"1986 Q1","9.9"
"1986 Q2","12.1"
"1986 Q3","10.1"
"1986 Q4","10.3"
"1987 Q1","8.6"
"1987 Q2","9.1"
"1987 Q3","8.2"
"1987 Q4","6.5"
"1988 Q1","7.0"
"1988 Q2","7.2"
"1988 Q3","6.0"
"1988 Q4","5.9"
"1989 Q1","6.7"
"1989 Q2","7.2"
"1989 Q3","9.6"
"1989 Q4","8.2"
"1990 Q1","9.8"
"1990 Q2","8.5"
"1990 Q3","9.8"
"1990 Q4","11.0"
"1991 Q1","11.7"
"1991 Q2","10.9"
"1991 Q3","13.2"
"1991 Q4","13.0"
"1992 Q1","13.8"
"1992 Q2","13.4"
"1992 Q3","13.7"
"1992 Q4","13.6"
"1993 Q1","12.6"
"1993 Q2","13.9"
"1993 Q3","13.0"
"1993 Q4","12.7"
"1994 Q1","11.1"
"1994 Q2","10.7"
"1994 Q3","11.6"
"1994 Q4","10.4"
"1995 Q1","12.8"
"1995 Q2","12.2"
"1995 Q3","12.1"
"1995 Q4","11.6"
"1996 Q1","12.7"
"1996 Q2","11.5"
"1996 Q3","11.7"
"1996 Q4","9.0"
"1997 Q1","9.5"
"1997 Q2","9.9"
"1997 Q3","9.7"
"1997 Q4","8.5"
"1998 Q1","7.8"
"1998 Q2","7.2"
"1998 Q3","5.4"
"1998 Q4","5.4"
"1999 Q1","3.1"
"1999 Q2","5.3"
"1999 Q3","5.0"
"1999 Q4","6.8"
"2000 Q1","6.4"
"2000 Q2","6.3"
"2000 Q3","7.1"
"2000 Q4","8.5"
"2001 Q1","8.0"
"2001 Q2","7.2"
"2001 Q3","6.4"
"2001 Q4","6.5"
"2002 Q1","6.6"
"2002 Q2","7.7"
"2002 Q3","6.4"
"2002 Q4","5.4"
"2003 Q1","5.9"
"2003 Q2","4.8"
"2003 Q3","5.3"
"2003 Q4","5.7"
"2004 Q1","6.0"
"2004 Q2","5.4"
"2004 Q3","6.1"
"2004 Q4","5.7"
"2005 Q1","5.4"
"2005 Q2","6.2"
"2005 Q3","5.8"
"2005 Q4","5.7"
"2006 Q1","6.8"
"2006 Q2","5.8"
"2006 Q3","6.1"
"2006 Q4","7.1"
"2007 Q1","9.0"
"2007 Q2","8.1"
"2007 Q3","7.5"
"2007 Q4","6.3"
"2008 Q1","5.5"
"2008 Q2","7.5"
"2008 Q3","6.7"
"2008 Q4","10.0"
"2009 Q1","9.5"
"2009 Q2","11.1"
"2009 Q3","10.9"
"2009 Q4","11.4"
"2010 Q1","12.8"
"2010 Q2","11.2"
"2010 Q3","10.2"
"2010 Q4","10.3"
"2011 Q1","8.8"
"2011 Q2","10.1"
"2011 Q3","9.1"
"2011 Q4","8.3"
"2012 Q1","10.0"
"2012 Q2","8.8"
"2012 Q3","7.8"
"2012 Q4","6.5"
"2013 Q1","6.8"
"2013 Q2","8.1"
"2013 Q3","8.1"
"2013 Q4","9.3"
"2014 Q1","9.0"
"2014 Q2","7.8"
"2014 Q3","5.9"
"2014 Q4","6.5"
"2015 Q1","7.8"
"2015 Q2","10.1"
"2015 Q3","9.8"
"2015 Q4","10.9"
"2016 Q1","8.0"
"2016 Q2","6.8"
"2016 Q3","4.9"
"2016 Q4","5.4"
"2017 Q1","3.8"
"2017 Q2","5.9"
"2017 Q3","5.7"
"2017 Q4","5.2"
"2018 Q1","5.9"
"2018 Q2","5.3"
"2018 Q3","5.3"
"2018 Q4","5.1"
"2019 Q1","5.3"
"2019 Q2","6.1"
"2019 Q3","5.5"
"2019 Q4","6.3"
"2020 Q1","7.2"
"2020 Q2","27.5"
"2020 Q3","15.1"
"2020 Q4","16.9"
"2021 Q1","21.8"
"2021 Q2","12.5"
"2021 Q3","9.5"
"2021 Q4","7.3"
"2022 Q1","7.4"
"2022 Q2","3.8"
"2022 Q3","5.0"
"2022 Q4","5.2"
"2023 Q1","4.7"
"2023 Q2","6.2"
"2023 Q3","7.0"
"2023 Q4","7.0"
"2024 Q1","8.8"
"2024 Q2","9.3"
"2024 Q3","9.9"
"2024 Q4","11.1"
"2025 Q1","10.1"
"2025 Q2","9.9"
"2025 Q3","9.1"
"2025 Q4","9.9"
